"Created on","2026-06-07 14:11:13"
"Created with","Scrutiny V0.12.1"
"Device ID","d6fc71528a231663b87e7b30bcac7d95"
"Firmware ID","d6fc71528a231663b87e7b30bcac7d95"
"Project name","NanoGaN-SW V0.1"

"","","var:/global/fDcVoltage","var:/global/uDTC/uDTC[0]","var:/global/uDTC/uDTC[1]","var:/global/uDTC/uDTC[2]","var:/global/fCurrent/fCurrent[0]","var:/global/fCurrent/fCurrent[1]","var:/global/fCurrent/fCurrent[2]",""
"Datetime","Time [s]","fDcVoltage","uDTC[0]","uDTC[1]","uDTC[2]","fCurrent[0]","fCurrent[1]","fCurrent[2]","New Values"
"2026-06-07 14:10:49",0.00037,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00038,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00039,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.78125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0004,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00041,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00042,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00043,12.455696105957031,1374.0,1492.0,1255.0,-0.0,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00044,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00045,12.47088623046875,1374.0,1492.0,1255.0,0.01953125,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00046,12.455696105957031,1374.0,1492.0,1255.0,-0.0,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00047,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.72265625,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00048,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.72265625,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00049,12.486076354980469,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0005,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.76171875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00051,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.72265625,-0.78125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00052,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.72265625,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00053,12.455696105957031,1374.0,1492.0,1255.0,-0.05859375,0.72265625,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00054,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00055,12.455696105957031,1374.0,1492.0,1255.0,-0.05859375,0.78125,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00056,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.80078125,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00057,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.76171875,-0.78125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00058,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00059,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.80078125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0006,12.47088623046875,1374.0,1492.0,1255.0,-0.0,0.80078125,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00061,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.78125,-0.78125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00062,12.47088623046875,1374.0,1492.0,1255.0,-0.05859375,0.80078125,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00063,12.47088623046875,1374.0,1492.0,1255.0,-0.05859375,0.78125,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00064,12.455696105957031,1374.0,1492.0,1255.0,-0.05859375,0.78125,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00065,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00066,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00067,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.76171875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00068,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00069,12.440505981445312,1374.0,1492.0,1255.0,-0.01953125,0.76171875,-0.80078125,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0007,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.72265625,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00071,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00072,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00073,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.72265625,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00074,12.47088623046875,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00075,12.47088623046875,1374.0,1492.0,1255.0,-0.05859375,0.7421875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00076,12.455696105957031,1374.0,1492.0,1255.0,-0.0390625,0.72265625,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00077,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00078,12.455696105957031,1374.0,1492.0,1255.0,-0.078125,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00079,12.455696105957031,1374.0,1492.0,1255.0,-0.05859375,0.76171875,-0.72265625,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.0008,12.440505981445312,1374.0,1492.0,1255.0,-0.05859375,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00081,12.47088623046875,1374.0,1492.0,1255.0,-0.0390625,0.7421875,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00082,12.440505981445312,1374.0,1492.0,1255.0,-0.05859375,0.7421875,-0.76171875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00083,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.78125,-0.7421875,"1,1,1,1,1,1,1"
"2026-06-07 14:10:49",0.00084,12.455696105957031,1374.0,1492.0,1255.0,-0.01953125,0.8203125,-0.7421875,"1,1,1,1,1,1,1"
