"Created on","2026-06-07 14:39:32"
"Created with","Scrutiny V0.12.1"
"Device ID","d6fc71528a231663b87e7b30bcac7d95"
"Firmware ID","d6fc71528a231663b87e7b30bcac7d95"
"Project name","NanoGaN-SW V0.1"

"","","var:/global/fCurrent/fCurrent[0]","var:/global/fCurrent/fCurrent[1]","var:/global/fCurrent/fCurrent[2]","var:/global/uDTC/uDTC[0]","var:/global/uDTC/uDTC[1]","var:/global/uDTC/uDTC[2]","var:/global/fDcVoltage",""
"Datetime","Time [s]","fCurrent[0]","fCurrent[1]","fCurrent[2]","uDTC[0]","uDTC[1]","uDTC[2]","fDcVoltage","New Values"
"2026-06-07 14:39:19",0.00037,-0.0390625,0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00038,-0.01953125,-0.01953125,0.13671875,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00039,-0.01953125,-0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0004,-0.0,0.0,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00041,-0.0,0.0,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00042,-0.0390625,0.0,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00043,-0.0390625,-0.01953125,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00044,-0.05859375,-0.01953125,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00045,-0.0390625,-0.0390625,-0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00046,-0.0390625,0.01953125,0.0,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00047,-0.078125,0.0,-0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00048,-0.078125,0.0,-0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00049,-0.0390625,0.0,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0005,-0.0390625,-0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00051,-0.0390625,-0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00052,-0.05859375,0.01953125,0.01953125,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00053,-0.05859375,0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00054,-0.01953125,0.0,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00055,-0.0390625,0.01953125,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00056,-0.0390625,0.01953125,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00057,-0.0390625,0.0,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00058,-0.0390625,0.0,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00059,-0.01953125,0.0390625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0006,-0.01953125,0.01953125,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00061,-0.0,-0.05859375,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00062,-0.0390625,-0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00063,-0.0390625,-0.05859375,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00064,-0.0390625,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00065,-0.0390625,-0.01953125,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00066,-0.0390625,0.0,0.0,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00067,-0.0390625,0.0,0.01953125,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00068,-0.0390625,-0.01953125,0.01953125,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00069,-0.01953125,0.0,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0007,-0.0390625,0.0,0.01953125,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00071,-0.0390625,0.01953125,0.0,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00072,-0.01953125,-0.01953125,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00073,-0.05859375,0.0,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00074,-0.0390625,0.0,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00075,-0.01953125,0.0390625,0.0390625,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00076,-0.0390625,0.0,0.0390625,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00077,-0.0390625,0.0,0.01953125,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00078,-0.01953125,-0.01953125,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00079,-0.0390625,-0.01953125,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0008,-0.0390625,0.01953125,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00081,-0.0,0.0,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00082,-0.0390625,-0.01953125,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00083,-0.078125,0.0,0.0390625,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00084,-0.01953125,0.0,-0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00085,-0.0390625,0.01953125,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00086,-0.0390625,0.0,0.0390625,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00087,0.01953125,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00088,-0.0,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00089,-0.0390625,-0.01953125,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0009,-0.0390625,-0.0390625,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00091,-0.0390625,0.01953125,-0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00092,-0.01953125,0.01953125,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00093,-0.0390625,0.01953125,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00094,-0.05859375,0.0,-0.01953125,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00095,-0.01953125,0.0,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00096,-0.05859375,0.0,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00097,-0.0390625,-0.01953125,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00098,-0.01953125,0.0,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00099,-0.0390625,-0.0390625,-0.01953125,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.001,-0.0390625,-0.25390625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00101,-0.0390625,-0.0390625,0.01953125,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00102,-0.0390625,0.0390625,0.05859375,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00103,-0.01953125,-0.0390625,0.0390625,1374.0,1374.0,1374.0,12.455696105957031,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00104,-0.01953125,0.09765625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00105,-0.01953125,0.01953125,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00106,-0.0,0.0,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00107,-0.01953125,0.05859375,0.0390625,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00108,-0.01953125,-0.01953125,0.0390625,1374.0,1374.0,1374.0,12.501265525817871,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00109,-0.0390625,0.01953125,0.0390625,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.0011,-0.01953125,0.0390625,0.01953125,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00111,-0.0390625,0.01953125,0.01953125,1374.0,1374.0,1374.0,12.47088623046875,"1,1,1,1,1,1,1"
"2026-06-07 14:39:19",0.00112,-0.01953125,0.01953125,0.0,1374.0,1374.0,1374.0,12.486076354980469,"1,1,1,1,1,1,1"
